total,state,zone,date,sales
total,State 3,Zone P,2022-06-09,4233
total,State 1,Zone P,2021-03-29,4257
total,State 2,Zone P,2021-09-25,11747
total,State 3,Zone R,2020-07-08,4373
total,State 1,Zone Q,2020-04-20,5846
total,State 2,Zone Q,2023-07-31,6427
total,State 2,Zone R,2021-06-17,6859
total,State 1,Zone P,2023-12-31,9031
total,State 1,Zone P,2023-07-11,4579
total,State 1,Zone R,2022-04-01,6149
total,State 3,Zone Q,2021-06-02,4314
total,State 3,Zone Q,2022-11-12,10159
total,State 1,Zone P,2020-02-25,4540
total,State 2,Zone P,2022-10-10,7211
total,State 3,Zone P,2022-11-14,4080
total,State 1,Zone P,2023-03-11,7478
total,State 2,Zone P,2020-09-27,8073
total,State 3,Zone P,2021-08-13,4521
total,State 1,Zone Q,2023-10-03,7480
total,State 2,Zone Q,2022-12-14,8098
total,State 2,Zone P,2020-04-08,6024
total,State 3,Zone P,2022-08-29,2432
total,State 2,Zone R,2023-03-07,7987
total,State 1,Zone P,2020-04-12,8309
total,State 1,Zone R,2023-04-06,4573
total,State 1,Zone Q,2020-02-22,6198
total,State 1,Zone R,2020-11-04,6974
total,State 2,Zone Q,2020-08-21,4439
total,State 2,Zone P,2022-08-25,4409
total,State 2,Zone P,2022-09-07,8662
total,State 3,Zone R,2020-07-11,3825
total,State 1,Zone P,2020-08-05,5331
total,State 1,Zone Q,2022-03-27,9859
total,State 3,Zone R,2020-08-01,3680
total,State 2,Zone P,2021-01-12,15226
total,State 2,Zone Q,2021-10-23,11320
total,State 3,Zone R,2021-10-04,5035
total,State 3,Zone Q,2020-11-06,5940
total,State 2,Zone R,2022-02-27,10046
total,State 3,Zone P,2020-01-16,8158
total,State 2,Zone P,2020-04-02,6667
total,State 1,Zone P,2021-07-03,6640
total,State 3,Zone R,2021-04-01,3394
total,State 1,Zone Q,2023-10-19,7567
total,State 1,Zone Q,2022-09-18,5278
total,State 2,Zone Q,2023-05-06,12905
total,State 1,Zone Q,2020-08-04,4502
total,State 2,Zone Q,2020-08-26,8266
total,State 2,Zone P,2022-12-11,15390
total,State 2,Zone R,2020-11-05,11225
total,State 1,Zone R,2020-04-01,4357
total,State 3,Zone R,2021-07-07,3003
total,State 1,Zone Q,2022-07-27,4647
total,State 1,Zone R,2020-02-17,4983
total,State 2,Zone P,2021-05-14,9680
total,State 2,Zone R,2020-09-17,7160
total,State 2,Zone P,2020-07-03,7581
total,State 3,Zone Q,2022-02-19,4991
total,State 1,Zone P,2022-08-13,5882
total,State 1,Zone P,2023-11-21,5748
total,State 3,Zone P,2021-03-01,4092
total,State 1,Zone Q,2020-08-27,3007
total,State 1,Zone R,2022-12-06,7653
total,State 1,Zone P,2021-09-09,7723
total,State 2,Zone R,2020-09-29,9585
total,State 1,Zone R,2022-05-17,5633
total,State 1,Zone R,2022-09-13,5892
total,State 1,Zone P,2020-02-03,5416
total,State 3,Zone R,2022-05-24,5339
total,State 2,Zone Q,2020-05-15,7716
total,State 2,Zone R,2020-01-15,11719
total,State 1,Zone R,2023-07-02,4441
total,State 1,Zone R,2020-02-13,6291
total,State 3,Zone Q,2020-07-25,4447
total,State 2,Zone Q,2023-07-13,5602
total,State 1,Zone P,2023-10-22,6524
total,State 1,Zone R,2020-01-07,9519
total,State 1,Zone R,2022-05-09,4993
total,State 3,Zone R,2021-03-04,5349
total,State 1,Zone R,2023-11-21,8233
total,State 2,Zone R,2020-01-29,14354
total,State 2,Zone Q,2023-04-05,7023
total,State 3,Zone P,2023-01-21,8797
total,State 3,Zone P,2023-06-05,3089
total,State 3,Zone Q,2023-01-16,5419
total,State 3,Zone P,2023-05-10,4517
total,State 3,Zone Q,2022-03-22,4084
total,State 2,Zone P,2023-01-14,10967
total,State 3,Zone Q,2021-10-25,5019
total,State 3,Zone Q,2023-09-01,4214
total,State 3,Zone Q,2020-09-20,4979
total,State 1,Zone R,2023-02-14,7152
total,State 3,Zone R,2023-07-23,4422
total,State 2,Zone Q,2020-10-26,7410
total,State 1,Zone R,2020-02-12,6904
total,State 3,Zone P,2023-06-17,3442
total,State 1,Zone P,2021-03-22,4394
total,State 1,Zone Q,2022-03-20,7109
total,State 3,Zone R,2020-11-12,4384
total,State 2,Zone Q,2023-05-03,10272
total,State 2,Zone P,2023-04-23,7341
total,State 2,Zone P,2022-01-10,12175
total,State 1,Zone Q,2023-09-04,5539
total,State 2,Zone R,2020-05-27,6631
total,State 1,Zone Q,2022-03-18,6762
total,State 1,Zone Q,2020-11-05,10327
total,State 3,Zone Q,2020-04-04,7511
total,State 1,Zone Q,2022-08-16,3651
total,State 2,Zone Q,2022-04-03,12414
total,State 3,Zone R,2020-04-29,5094
total,State 2,Zone P,2021-11-11,9017
total,State 2,Zone P,2020-05-08,7797
total,State 3,Zone P,2022-01-18,8326
total,State 1,Zone P,2020-10-17,7835
total,State 1,Zone P,2023-10-03,5151
total,State 3,Zone Q,2020-02-17,3081
total,State 1,Zone P,2023-01-09,6274
total,State 1,Zone R,2023-07-01,6013
total,State 1,Zone P,2022-05-04,7228
total,State 1,Zone Q,2021-05-10,5730
total,State 3,Zone R,2021-10-18,3973
total,State 1,Zone Q,2022-01-14,10478
total,State 1,Zone Q,2021-07-19,4352
total,State 3,Zone Q,2022-03-18,4366
total,State 3,Zone R,2023-11-30,5627
total,State 1,Zone Q,2022-01-05,10357
total,State 1,Zone Q,2023-07-10,3778
total,State 1,Zone Q,2023-02-13,5988
total,State 1,Zone P,2021-11-17,8309
total,State 3,Zone P,2022-06-21,2576
total,State 2,Zone P,2021-11-17,9872
total,State 1,Zone Q,2023-10-09,4418
total,State 2,Zone Q,2021-04-03,11089
total,State 3,Zone R,2021-07-05,3604
total,State 2,Zone R,2020-03-27,7677
total,State 3,Zone Q,2020-10-20,6231
total,State 2,Zone R,2023-10-04,10226
total,State 3,Zone P,2023-10-06,6675
total,State 2,Zone P,2023-07-26,4435
total,State 3,Zone R,2022-03-02,6110
total,State 3,Zone R,2023-11-15,7593
total,State 2,Zone R,2020-08-11,8076
total,State 1,Zone P,2023-02-19,7713
total,State 2,Zone P,2023-10-02,8631
total,State 2,Zone Q,2021-02-14,10260
total,State 3,Zone Q,2022-07-20,4028
total,State 1,Zone Q,2021-09-18,7850
total,State 2,Zone Q,2021-07-04,8365
total,State 3,Zone R,2021-05-13,6156
total,State 2,Zone P,2023-03-19,7241
total,State 3,Zone R,2022-11-13,8295
total,State 2,Zone P,2023-09-25,6168
total,State 2,Zone R,2023-08-05,7640
total,State 1,Zone R,2023-03-11,7379
total,State 3,Zone Q,2021-05-11,5396
total,State 3,Zone P,2022-02-09,6211
total,State 3,Zone P,2023-04-02,6661
total,State 2,Zone P,2020-01-28,11836
total,State 1,Zone Q,2023-12-28,6904
total,State 1,Zone Q,2021-02-13,7936
total,State 2,Zone Q,2021-10-16,10042
total,State 1,Zone P,2023-07-04,5404
total,State 2,Zone R,2022-12-14,10169
total,State 1,Zone R,2022-05-28,9526
total,State 2,Zone Q,2020-03-27,7317
total,State 2,Zone Q,2021-07-20,6513
total,State 1,Zone P,2023-01-14,10311
total,State 3,Zone R,2022-12-16,5880
total,State 1,Zone P,2022-02-03,5138
total,State 1,Zone Q,2022-06-23,3106
total,State 2,Zone Q,2022-09-19,5356
total,State 1,Zone R,2022-11-17,5825
total,State 1,Zone Q,2023-04-29,8307
total,State 2,Zone Q,2023-01-30,9636
total,State 3,Zone Q,2021-06-03,4645
total,State 1,Zone P,2023-09-20,7881
total,State 2,Zone Q,2020-04-19,11005
total,State 2,Zone R,2020-01-22,14853
total,State 3,Zone P,2023-07-17,2459
total,State 1,Zone P,2022-01-26,5417
total,State 1,Zone P,2022-10-03,5660
total,State 1,Zone Q,2022-04-23,7495
total,State 1,Zone Q,2022-05-12,4802
total,State 2,Zone R,2023-09-13,6056
total,State 2,Zone P,2022-10-26,7961
total,State 1,Zone P,2021-04-10,7502
total,State 2,Zone R,2022-09-29,10636
total,State 1,Zone P,2020-03-10,7488
total,State 1,Zone Q,2020-06-28,6490
total,State 2,Zone Q,2021-08-07,8477
total,State 3,Zone R,2021-01-18,4025
total,State 2,Zone P,2022-12-08,10744
total,State 2,Zone Q,2021-05-12,8826
total,State 3,Zone P,2020-10-06,5958
total,State 1,Zone R,2023-05-12,6260
total,State 1,Zone R,2021-04-15,4246
total,State 3,Zone P,2022-06-07,3689
total,State 1,Zone Q,2020-12-22,7751
total,State 2,Zone Q,2021-04-28,6088
total,State 1,Zone P,2022-04-06,6137
total,State 1,Zone Q,2022-12-15,7320
total,State 2,Zone R,2021-03-13,10388
total,State 3,Zone R,2021-12-15,6080
total,State 2,Zone Q,2021-07-09,5404
total,State 2,Zone R,2022-08-04,4631
total,State 1,Zone R,2022-06-24,4432
total,State 1,Zone Q,2020-05-11,5525
total,State 1,Zone P,2023-12-10,11770
total,State 3,Zone P,2023-02-24,6590
total,State 2,Zone R,2021-02-19,9199
total,State 1,Zone R,2021-08-19,5543
total,State 1,Zone P,2022-03-03,7361
total,State 2,Zone R,2020-11-26,9895
total,State 1,Zone Q,2023-03-12,7094
total,State 1,Zone P,2022-07-06,5672
total,State 1,Zone R,2022-08-18,5467
total,State 3,Zone Q,2020-01-01,7387
total,State 1,Zone R,2021-07-18,6635
total,State 2,Zone Q,2023-11-20,9763
total,State 2,Zone P,2023-02-05,9812
total,State 1,Zone Q,2021-08-01,6584
total,State 1,Zone Q,2020-08-31,3538
total,State 3,Zone R,2021-04-29,5740
total,State 3,Zone R,2021-07-04,5542
total,State 1,Zone Q,2023-01-26,10495
total,State 1,Zone R,2021-07-28,3722
total,State 2,Zone R,2022-01-09,12486
total,State 1,Zone Q,2023-02-12,5645
total,State 2,Zone R,2020-03-28,13960
total,State 2,Zone Q,2022-08-06,7512
total,State 3,Zone P,2023-07-29,5489
total,State 1,Zone P,2023-04-27,7576
total,State 3,Zone R,2020-10-14,3626
total,State 2,Zone R,2022-01-12,10766
total,State 1,Zone Q,2022-09-27,7090
total,State 3,Zone R,2020-09-12,5956
total,State 1,Zone R,2022-06-02,5106
total,State 1,Zone Q,2020-06-25,3266
total,State 2,Zone P,2021-01-02,9838
total,State 2,Zone Q,2022-02-28,7724
total,State 2,Zone P,2021-10-09,10383
total,State 3,Zone P,2020-09-15,4020
total,State 3,Zone P,2020-05-27,6314
total,State 1,Zone Q,2022-11-24,10636
total,State 2,Zone R,2021-08-05,5041
total,State 3,Zone Q,2021-03-19,4423
total,State 3,Zone R,2022-10-03,4985
total,State 1,Zone Q,2023-10-08,7084
total,State 3,Zone Q,2023-07-25,3466
total,State 1,Zone R,2021-04-08,4252
total,State 1,Zone P,2022-11-07,4792
total,State 2,Zone R,2020-12-12,10136
total,State 1,Zone Q,2022-04-12,4959
total,State 3,Zone P,2022-11-21,6152
total,State 3,Zone P,2020-05-29,6073
total,State 3,Zone R,2021-02-28,5376
total,State 3,Zone P,2021-12-25,6271
total,State 2,Zone P,2020-11-09,9112
total,State 3,Zone R,2022-07-25,2837
total,State 2,Zone Q,2022-01-14,14386
total,State 1,Zone P,2020-09-04,5777
total,State 1,Zone R,2022-12-28,6775
total,State 1,Zone P,2021-09-18,6084
total,State 1,Zone Q,2022-02-17,7740
total,State 1,Zone Q,2022-05-21,9117
total,State 3,Zone Q,2023-02-19,5318
total,State 3,Zone P,2020-06-11,2527
total,State 1,Zone Q,2023-03-01,5648
total,State 1,Zone R,2020-09-03,7780
total,State 2,Zone R,2021-01-03,14159
total,State 2,Zone P,2020-05-17,8748
total,State 1,Zone P,2022-06-02,5133
total,State 3,Zone P,2021-03-02,3794
total,State 2,Zone P,2023-06-15,5342
total,State 2,Zone P,2022-04-12,10799
total,State 2,Zone P,2021-03-10,9869
total,State 1,Zone Q,2021-03-21,6437
total,State 3,Zone P,2023-09-12,3565
total,State 3,Zone R,2023-10-28,5643
total,State 2,Zone P,2020-07-08,4599
total,State 3,Zone P,2021-03-19,3449
total,State 3,Zone Q,2022-12-07,8313
total,State 1,Zone Q,2022-04-09,6388
total,State 2,Zone R,2021-08-09,3919
total,State 3,Zone P,2023-10-26,5804
total,State 2,Zone R,2023-02-14,6278
total,State 1,Zone P,2020-11-14,8705
total,State 2,Zone P,2021-05-27,8042
total,State 1,Zone R,2021-10-12,7239
total,State 2,Zone P,2021-07-08,5027
total,State 1,Zone R,2022-10-02,7240
total,State 2,Zone R,2021-11-17,8083
total,State 2,Zone Q,2020-01-06,10894
total,State 1,Zone Q,2021-11-16,5552
total,State 1,Zone R,2021-05-10,5218
total,State 2,Zone Q,2021-11-22,10592
total,State 1,Zone R,2023-08-18,5857
total,State 3,Zone P,2021-11-03,8581
total,State 3,Zone Q,2023-09-10,6228
total,State 3,Zone R,2022-07-18,3212
total,State 2,Zone R,2023-06-20,6708
total,State 2,Zone Q,2022-11-23,9978
total,State 2,Zone P,2020-07-30,4245
total,State 1,Zone P,2021-03-04,7870
total,State 3,Zone Q,2021-04-07,3608
total,State 3,Zone Q,2022-01-04,4672
total,State 1,Zone Q,2021-03-06,9304
total,State 2,Zone R,2023-08-09,6174
total,State 2,Zone R,2020-05-08,11005
total,State 3,Zone P,2022-04-05,4517
total,State 2,Zone P,2022-06-19,5484
total,State 1,Zone R,2020-05-20,6010
total,State 3,Zone P,2020-05-02,4402
total,State 3,Zone P,2021-12-26,7772
total,State 1,Zone Q,2020-05-15,5912
total,State 1,Zone Q,2023-03-08,6789
total,State 1,Zone Q,2023-09-11,4785
total,State 2,Zone Q,2020-12-28,8919
total,State 3,Zone Q,2023-01-14,8712
total,State 3,Zone P,2021-07-09,4525
total,State 1,Zone R,2020-07-06,3693
total,State 1,Zone Q,2021-07-13,5114
total,State 3,Zone R,2022-12-14,7922
total,State 2,Zone R,2022-04-21,6715
total,State 2,Zone Q,2023-03-06,9405
total,State 3,Zone P,2023-03-20,4775
total,State 1,Zone R,2022-09-02,7635
total,State 2,Zone Q,2020-10-12,6650
total,State 2,Zone P,2022-07-14,6435
total,State 3,Zone Q,2023-10-30,3979
total,State 2,Zone R,2021-07-11,6079
total,State 3,Zone Q,2023-02-06,4850
total,State 1,Zone R,2023-10-11,7412
total,State 3,Zone R,2023-01-12,5346
total,State 2,Zone Q,2020-02-07,9481
total,State 2,Zone R,2020-07-15,4515
total,State 1,Zone R,2020-09-23,4953
total,State 2,Zone P,2022-04-18,6674
total,State 3,Zone R,2023-04-04,4836
total,State 2,Zone Q,2021-09-04,13619
total,State 3,Zone R,2021-01-29,7731
total,State 2,Zone R,2020-10-05,6650
total,State 2,Zone R,2021-09-15,6022
total,State 2,Zone R,2023-06-12,4796
total,State 2,Zone Q,2022-06-10,6750
total,State 3,Zone P,2023-07-02,4485
total,State 3,Zone P,2020-05-15,4323
total,State 1,Zone R,2022-09-16,7565
total,State 2,Zone Q,2023-02-11,10595
total,State 3,Zone P,2021-01-01,7101
total,State 3,Zone P,2020-04-17,4706
total,State 1,Zone R,2020-08-15,5163
total,State 3,Zone P,2020-07-10,3083
total,State 2,Zone Q,2022-02-03,6986
total,State 2,Zone Q,2022-03-20,13990
total,State 1,Zone P,2023-01-04,8318
total,State 3,Zone P,2023-06-18,3823
total,State 1,Zone R,2022-08-31,4373
total,State 3,Zone P,2023-05-21,4440
total,State 1,Zone Q,2020-03-05,6937
total,State 3,Zone R,2022-11-25,5880
total,State 2,Zone R,2023-05-16,11478
total,State 2,Zone R,2023-01-08,12913
total,State 1,Zone R,2022-02-02,7724
total,State 2,Zone R,2020-06-07,6922
total,State 2,Zone Q,2021-02-10,6515
total,State 1,Zone P,2021-09-29,6772
total,State 3,Zone P,2020-06-24,4587
total,State 2,Zone P,2022-12-03,13155
total,State 3,Zone R,2023-12-05,5798
total,State 1,Zone Q,2021-09-23,4398
total,State 3,Zone Q,2022-02-16,4802
total,State 1,Zone R,2021-07-09,5248
total,State 2,Zone R,2023-12-18,8302
total,State 3,Zone R,2022-11-10,8568
total,State 3,Zone Q,2022-06-24,4330
total,State 1,Zone Q,2020-05-19,5157
total,State 2,Zone Q,2023-11-13,7246
total,State 1,Zone P,2022-02-06,8808
total,State 2,Zone R,2022-06-03,4366
total,State 2,Zone P,2021-03-24,10227
total,State 2,Zone Q,2020-02-10,6747
total,State 1,Zone Q,2023-12-04,7383
total,State 1,Zone Q,2020-09-05,8073
total,State 1,Zone Q,2023-10-10,7856
total,State 1,Zone Q,2023-08-26,5782
total,State 3,Zone P,2020-06-03,3272
total,State 3,Zone Q,2022-11-01,7473
total,State 2,Zone P,2022-12-07,10251
total,State 1,Zone R,2021-08-13,3798
total,State 1,Zone R,2022-12-17,7384
total,State 3,Zone Q,2022-10-11,4645
total,State 3,Zone P,2022-06-06,3413
total,State 1,Zone Q,2022-09-15,6068
total,State 2,Zone R,2022-12-01,10672
total,State 3,Zone R,2020-11-21,7277
total,State 1,Zone P,2023-06-18,5452
total,State 2,Zone P,2021-01-31,16501
total,State 3,Zone P,2021-09-27,4539
total,State 2,Zone R,2023-06-06,4330
total,State 1,Zone Q,2021-11-10,6893
total,State 2,Zone P,2021-06-21,3427
total,State 3,Zone P,2022-10-08,6906
total,State 2,Zone Q,2021-06-08,4652
total,State 3,Zone P,2020-02-09,4478
total,State 1,Zone R,2020-11-30,7005
total,State 2,Zone R,2021-09-27,7034
total,State 2,Zone P,2020-07-16,6886
total,State 1,Zone Q,2021-10-20,6914
total,State 3,Zone Q,2023-10-13,4122
total,State 2,Zone R,2023-12-26,14231
total,State 2,Zone R,2021-06-04,7168
total,State 3,Zone R,2023-09-27,5113
total,State 3,Zone P,2023-02-18,4328
total,State 3,Zone P,2022-01-07,7733
total,State 2,Zone R,2022-07-13,4902
total,State 3,Zone R,2021-02-18,5013
total,State 1,Zone Q,2023-05-25,8180
total,State 3,Zone R,2023-01-04,4849
total,State 3,Zone P,2021-09-30,6611
total,State 1,Zone R,2022-10-19,6542
total,State 2,Zone Q,2022-04-22,11355
total,State 3,Zone Q,2022-07-09,3458
total,State 1,Zone R,2020-08-12,4716
total,State 1,Zone P,2022-07-17,4812
total,State 2,Zone Q,2021-10-04,5663
total,State 3,Zone Q,2023-12-20,5505
total,State 2,Zone R,2022-10-13,9742
total,State 3,Zone Q,2020-08-16,4252
total,State 1,Zone Q,2022-04-02,6252
total,State 2,Zone Q,2021-02-08,6797
total,State 3,Zone P,2020-04-14,4351
total,State 2,Zone Q,2021-05-20,11251
total,State 2,Zone R,2021-08-04,4930
total,State 2,Zone P,2021-12-15,10549
total,State 2,Zone Q,2023-07-25,8037
total,State 3,Zone Q,2021-02-20,4511
total,State 3,Zone Q,2021-06-17,4630
total,State 3,Zone Q,2023-08-31,4725
total,State 2,Zone R,2022-07-15,7157
total,State 1,Zone Q,2023-06-12,3441
total,State 3,Zone P,2022-10-04,5709
total,State 3,Zone Q,2020-07-17,3143
total,State 1,Zone R,2023-06-02,4313
total,State 3,Zone P,2023-02-22,5503
total,State 2,Zone R,2020-02-16,7364
total,State 1,Zone P,2021-12-06,4431
total,State 2,Zone Q,2020-04-28,7946
total,State 3,Zone R,2021-08-08,3405
total,State 1,Zone R,2022-04-06,4360
total,State 1,Zone P,2021-11-27,8326
total,State 3,Zone Q,2023-10-14,7022
total,State 2,Zone Q,2022-07-13,4635
total,State 2,Zone P,2022-06-03,7595
total,State 2,Zone P,2021-10-08,11595
total,State 1,Zone Q,2022-04-08,5241
total,State 1,Zone P,2023-10-28,8172
total,State 1,Zone P,2022-07-16,4710
total,State 3,Zone R,2023-07-08,5465
total,State 1,Zone Q,2023-12-11,5469
total,State 3,Zone P,2020-02-14,4991
total,State 1,Zone R,2021-02-07,8610
total,State 3,Zone Q,2020-09-29,5372
total,State 1,Zone P,2021-10-09,5329
total,State 1,Zone R,2021-02-11,7624
total,State 2,Zone P,2023-05-18,10830
total,State 3,Zone P,2022-01-27,5449
total,State 2,Zone R,2021-08-10,5070
total,State 2,Zone R,2021-06-07,4604
total,State 1,Zone R,2020-05-07,4735
total,State 1,Zone R,2023-04-01,5636
total,State 1,Zone P,2020-04-21,4703
total,State 1,Zone Q,2021-12-02,10283
total,State 2,Zone R,2021-12-18,10521
total,State 2,Zone Q,2021-06-14,5304
total,State 1,Zone P,2023-03-14,8038
total,State 3,Zone R,2023-03-11,5847
total,State 1,Zone P,2022-12-11,11330
total,State 2,Zone R,2021-01-19,9654
total,State 3,Zone Q,2021-10-08,5946
total,State 1,Zone R,2022-11-30,10140
total,State 2,Zone P,2020-12-13,17977
total,State 2,Zone Q,2020-10-13,11474
total,State 2,Zone Q,2021-05-31,8290
total,State 1,Zone Q,2023-10-02,5718
total,State 1,Zone Q,2022-06-11,6432
total,State 3,Zone R,2021-03-09,5816
total,State 3,Zone P,2021-06-29,4502
total,State 3,Zone R,2021-05-31,4063
total,State 3,Zone P,2022-01-14,7747
total,State 1,Zone P,2022-02-08,8215
total,State 1,Zone P,2022-10-26,6211
total,State 2,Zone R,2021-05-11,7817
total,State 2,Zone R,2023-09-27,6785
total,State 1,Zone P,2023-01-12,5856
total,State 1,Zone Q,2021-01-28,7336
total,State 3,Zone Q,2023-08-19,5550
total,State 3,Zone R,2023-08-21,3010
total,State 1,Zone R,2021-06-05,5871
total,State 3,Zone Q,2023-09-18,3619
total,State 3,Zone R,2023-10-02,5381
total,State 3,Zone R,2021-06-04,4605
total,State 3,Zone P,2020-08-26,3212
total,State 2,Zone R,2022-10-07,6942
total,State 3,Zone R,2023-09-24,5335
total,State 3,Zone P,2021-06-07,3700
total,State 1,Zone R,2023-01-10,7227
total,State 3,Zone P,2023-10-22,4230
total,State 2,Zone P,2020-12-19,15808
total,State 1,Zone P,2023-12-13,7712
total,State 1,Zone R,2023-11-16,8769
total,State 3,Zone Q,2020-04-21,5207
total,State 1,Zone R,2021-02-15,6378
total,State 3,Zone P,2023-12-11,5305
total,State 3,Zone R,2023-10-29,6633
total,State 3,Zone Q,2023-11-08,5386
total,State 1,Zone P,2020-02-14,6653
total,State 3,Zone P,2021-07-18,3269
total,State 3,Zone Q,2023-10-06,5968
total,State 2,Zone R,2021-02-04,7687
total,State 2,Zone R,2021-12-02,13086
total,State 2,Zone Q,2021-10-26,11335
total,State 3,Zone P,2020-03-16,5270
total,State 3,Zone P,2021-04-05,4696
total,State 3,Zone Q,2020-12-20,6729
total,State 3,Zone R,2021-11-02,6280
total,State 1,Zone P,2022-08-31,3594
total,State 3,Zone Q,2021-03-30,4934
total,State 3,Zone R,2022-08-14,5339
total,State 1,Zone P,2023-12-19,7098
total,State 2,Zone R,2020-02-21,10246
total,State 2,Zone R,2020-01-11,9541
total,State 2,Zone P,2020-11-04,15213
total,State 3,Zone P,2021-03-24,6147
total,State 1,Zone R,2021-08-20,3668
total,State 2,Zone R,2020-06-27,7418
total,State 1,Zone R,2021-03-22,3488
total,State 1,Zone R,2022-01-10,8130
total,State 3,Zone P,2022-05-06,6090
total,State 2,Zone P,2022-06-26,8734
total,State 1,Zone Q,2022-03-07,5338
total,State 3,Zone P,2022-06-05,3474
total,State 2,Zone P,2021-06-29,5093
total,State 3,Zone Q,2021-04-21,5619
total,State 3,Zone R,2023-03-30,3971
total,State 3,Zone R,2023-08-29,3470
total,State 1,Zone R,2023-03-23,6275
total,State 1,Zone P,2021-08-27,5692
total,State 2,Zone R,2020-12-17,13088
total,State 1,Zone Q,2021-11-05,9011
total,State 3,Zone P,2021-01-15,7273
total,State 1,Zone Q,2021-08-04,4568
total,State 2,Zone Q,2023-11-30,9203
total,State 3,Zone R,2023-03-17,4453
total,State 2,Zone P,2021-10-03,8997
total,State 2,Zone Q,2023-08-04,4973
total,State 1,Zone Q,2022-02-12,6698
total,State 1,Zone Q,2023-09-09,8870
